Ensembl Gene ID	Ensembl Protein ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
YBR021W	YBR021W	II	281443	283344	FUR4
YML021C	YML021C	XIII	229734	230813	UNG1
YER038C	YER038C	V	226858	228252	KRE29
YNL044W	YNL044W	XIV	545268	545877	YIP3
YHR007C-A	YHR007C-A	VIII	122550	122765	
YER060W-A	YER060W-A	V	276572	278164	FCY22
YDR203W	YDR203W	IV	857682	857999	
YER173W	YER173W	V	536300	538279	RAD24
YOR190W	YOR190W	XV	690695	692032	SPR1
YML048W	YML048W	XIII	178426	179637	GSF2
YBR130C	YBR130C	II	495592	496869	SHE3
YPR072W	YPR072W	XVI	690107	691789	NOT5
YFR012W-A	YFR012W-A	VI	169224	169310	
YHR048W	YHR048W	VIII	204607	206151	YHK8
YHL006C	YHL006C	VIII	98343	98795	SHU1
YHL034C	YHL034C	VIII	33193	34077	SBP1
YDR418W	YDR418W	IV	1301616	1302113	RPL12B
YGR270C-A	YGR270C-A	VII	1027382	1027600	
YLR183C	YLR183C	XII	520543	522012	TOS4
YIR024C	YIR024C	IX	402841	403491	INA22
YCR038C	YCR038C	III	197621	199549	BUD5
YOL155C	YOL155C	XV	28703	31606	HPF1
YIL009C-A	YIL009C-A	IX	335666	336212	EST3
YJR040W	YJR040W	X	507746	510085	GEF1
YJL037W	YJL037W	X	376662	377336	IRC18
YOR059C	YOR059C	XV	438906	440258	LPL1
YMR325W	YMR325W	XIII	922641	923015	PAU19
YGL149W	YGL149W	VII	225572	225877	
YGR271W	YGR271W	VII	1031791	1037694	SLH1
YGR173W	YGR173W	VII	843854	844960	RBG2
YNR002C	YNR002C	XIV	633008	633856	ATO2
YMR172C-A	YMR172C-A	XIII	607828	608211	
YIL158W	YIL158W	IX	46201	46815	AIM20
YBR086C	YBR086C	II	420201	423041	IST2
YLR361C-A	YLR361C-A	XII	849383	849679	
YOR027W	YOR027W	XV	381053	382822	STI1
YER048W-A	YER048W-A	V	250718	251002	ISD11
YML090W	YML090W	XIII	90744	91130	
YDR210W-B	YDR210W-B	IV	872112	877425	
YHR164C	YHR164C	VIII	424610	429178	DNA2
YGR278W	YGR278W	VII	1046731	1048464	CWC22
Q0085	Q0085	Mito	28487	29266	ATP6
YPR150W	YPR150W	XVI	830999	831520	
YKL204W	YKL204W	XI	53704	55602	EAP1
YDR462W	YDR462W	IV	1386073	1386516	MRPL28
YMR273C	YMR273C	XIII	811233	813980	ZDS1
YJL162C	YJL162C	X	113878	115629	JJJ2
YMR175W-A	YMR175W-A	XIII	611314	611508	
YLL054C	YLL054C	XII	32673	35204	
YDL055C	YDL055C	IV	355674	356759	PSA1
YPR080W	YPR080W	XVI	700594	701970	TEF1
YFL017W-A	YFL017W-A	VI	103699	103932	SMX2
YOL019W	YOL019W	XV	288898	290553	
YGL127C	YGL127C	VII	270392	270775	SOH1
YLR266C	YLR266C	XII	675619	677724	PDR8
YGR268C	YGR268C	VII	1026057	1026653	HUA1
YHL033C	YHL033C	VIII	35255	36025	RPL8A
YGL063C-A	YGL063C-A	VII	384502	384651	
YKR076W	YKR076W	XI	582283	583395	ECM4
YJR130C	YJR130C	X	665218	667137	STR2
YEL007W	YEL007W	V	141892	143892	MIT1
YMR285C	YMR285C	XIII	840144	841691	NGL2
YBR104W	YBR104W	II	449667	450656	YMC2
YPL263C	YPL263C	XVI	44551	46506	KEL3
YER096W	YER096W	V	351698	353236	SHC1
YOR325W	YOR325W	XV	924577	925050	
YIL128W	YIL128W	IX	113806	116904	MET18
YDR311W	YDR311W	IV	1085065	1086993	TFB1
YKL088W	YKL088W	XI	275283	276998	CAB3
YJL046W	YJL046W	X	352386	353615	AIM22
YLR228C	YLR228C	XII	600019	602463	ECM22
YER053C-A	YER053C-A	V	260933	261046	
YKL056C	YKL056C	XI	334412	334915	TMA19
YPL037C	YPL037C	XVI	481428	481901	EGD1
YDR459C	YDR459C	IV	1382319	1383443	PFA5
YOR357C	YOR357C	XV	1009224	1009712	SNX3
YNR004W	YNR004W	XIV	635943	636383	SWM2
YNL192W	YNL192W	XIV	276502	279897	CHS1
YGL068W	YGL068W	VII	375087	375671	MNP1
YNL339W-B	YNL339W-B	XIV	734	1216	
YKL096C-B	YKL096C-B	XI	259073	259222	
YDL157C	YDL157C	IV	174232	174588	
YOR007C	YOR007C	XV	338938	339978	SGT2
YJL029C	YJL029C	X	388385	390853	VPS53
YBR105C	YBR105C	II	450881	451969	VID24
YDL013W	YDL013W	IV	429067	430926	SLX5
YJR052W	YJR052W	X	532062	533759	RAD7
YGL200C	YGL200C	VII	122694	123305	EMP24
YNL194C	YNL194C	XIV	272710	273615	
YDR260C	YDR260C	IV	976717	977229	SWM1
YPL012W	YPL012W	XVI	529723	533409	RRP12
YBL047C	YBL047C	II	127895	132040	EDE1
YKR001C	YKR001C	XI	440608	442722	VPS1
YNR072W	YNR072W	XIV	772657	774351	HXT17
YLR157W-E	YLR157W-E	XII	481873	482037	
YBR154C	YBR154C	II	548362	549009	RPB5
YPL156C	YPL156C	XVI	255913	256767	PRM4
YKL048C	YKL048C	XI	347214	349136	ELM1
YJL020C	YJL020C	X	398937	402410	BBC1
YPL105C	YPL105C	XVI	352863	355412	SYH1
YLR251W	YLR251W	XII	641464	642057	SYM1
YHR049C-A	YHR049C-A	VIII	207234	207530	
YGR113W	YGR113W	VII	718893	719924	DAM1
YEL018C-A	YEL018C-A	V	121455	121988	
YHL006W-A	YHL006W-A	VIII	97732	98085	
YGL008C	YGL008C	VII	479910	482666	PMA1
YBR253W	YBR253W	II	723270	723635	SRB6
YLR212C	YLR212C	XII	564860	566281	TUB4
YCR020C	YCR020C	III	154012	154659	PET18
YDR340W	YDR340W	IV	1150881	1151183	
YJR141W	YJR141W	X	695906	696949	
YHR060W	YHR060W	VIII	220725	221270	VMA22
YDR361C	YDR361C	IV	1195412	1196263	BCP1
YPL009C	YPL009C	XVI	535820	538936	TAE2
YNL027W	YNL027W	XIV	579580	581616	CRZ1
YNL065W	YNL065W	XIV	503724	505484	AQR1
YNL211C	YNL211C	XIV	250055	250315	
YHL038C	YHL038C	VIII	23617	25509	CBP2
YPL070W	YPL070W	XVI	420948	422786	MUK1
YOL111C	YOL111C	XV	108258	108896	MDY2
YDR075W	YDR075W	IV	597156	598082	PPH3
YER009W	YER009W	V	172115	172492	NTF2
YMR219W	YMR219W	XIII	707133	712109	ESC1
YFL034C-B	YFL034C-B	VI	63016	63993	MOB2
YIR011C	YIR011C	IX	377287	378246	STS1
YMR297W	YMR297W	XIII	861922	863520	PRC1
YIL139C	YIL139C	IX	87979	88716	REV7
YJR021C	YJR021C	X	468555	469579	REC107
YDR254W	YDR254W	IV	965113	966489	CHL4
YNL301C	YNL301C	XIV	63570	64562	RPL18B
YPL005W	YPL005W	XVI	548486	550306	AEP3
YGL105W	YGL105W	VII	307437	308567	ARC1
YBR255C-A	YBR255C-A	II	726618	727074	
YDL224C	YDL224C	IV	54397	56346	WHI4
YKL188C	YKL188C	XI	86225	88786	PXA2
YGR090W	YGR090W	VII	662358	666071	UTP22
YKL062W	YKL062W	XI	323228	325120	MSN4
YER044C	YER044C	V	237570	238016	ERG28
YNL315C	YNL315C	XIV	43324	44280	ATP11
YLL049W	YLL049W	XII	40666	41205	LDB18
YKL216W	YKL216W	XI	25215	26159	URA1
YJL158C	YJL158C	X	122265	122948	CIS3
YDR162C	YDR162C	IV	780390	781100	NBP2
YCR024C-B	YCR024C-B	III	162599	162865	
YJL202C	YJL202C	X	53943	54290	
YCR059C	YCR059C	III	223454	224230	YIH1
YDL183C	YDL183C	IV	130871	131833	
YKR046C	YKR046C	XI	524223	525074	PET10
YCL039W	YCL039W	III	52645	54882	GID7
YER140W	YER140W	V	451565	453235	EMP65
YPL069C	YPL069C	XVI	422885	423892	BTS1
YOR386W	YOR386W	XV	1066839	1068536	PHR1
YLR365W	YLR365W	XII	855199	855531	
YPL151C	YPL151C	XVI	266180	267535	PRP46
YNL042W	YNL042W	XIV	548100	549290	BOP3
YHR207C	YHR207C	VIII	514905	516485	SET5
YCR064C	YCR064C	III	228095	228505	
YDR171W	YDR171W	IV	806621	807748	HSP42
YPL157W	YPL157W	XVI	254814	255761	TGS1
YLR227W-A	YLR227W-A	XII	593438	594760	
YDR479C	YDR479C	IV	1415210	1416874	PEX29
YAL034W-A	YAL034W-A	I	79718	80587	MTW1
YBR013C	YBR013C	II	265492	265881	
YOR258W	YOR258W	XV	811671	812324	HNT3
YNR057C	YNR057C	XIV	733356	734069	BIO4
YJL113W	YJL113W	X	198678	203325	
YIL015W	YIL015W	IX	322342	324105	BAR1
YGR161W-C	YGR161W-C	VII	810227	810505	
YHR127W	YHR127W	VIII	360913	361644	
YFL018C	YFL018C	VI	101628	103127	LPD1
YNL328C	YNL328C	XIV	22834	23274	MDJ2
YCL049C	YCL049C	III	39786	40724	
YLR072W	YLR072W	XII	278862	280943	
YHR111W	YHR111W	VIII	333072	334394	UBA4
YGL055W	YGL055W	VII	398628	400160	OLE1
YBR288C	YBR288C	II	778012	779463	APM3
YOL055C	YOL055C	XV	224420	226075	THI20
YOR347C	YOR347C	XV	984942	986462	PYK2
YGL065C	YGL065C	VII	379760	381271	ALG2
YHR013C	YHR013C	VIII	130730	131446	ARD1
YOR307C	YOR307C	XV	892731	894092	SLY41
YAL042C-A	YAL042C-A	I	61231	61608	
YNL144C	YNL144C	XIV	352820	355042	
YIR038C	YIR038C	IX	423809	424513	GTT1
YLR230W	YLR230W	XII	604574	604879	
YAL046C	YAL046C	I	57029	57385	AIM1
YPL193W	YPL193W	XVI	181403	182548	RSA1
YER147C-A	YER147C-A	V	465203	465613	
YJL045W	YJL045W	X	356024	357928	
YGR208W	YGR208W	VII	911883	912812	SER2
YDR347W	YDR347W	IV	1169178	1170143	MRP1
YER190C-B	YER190C-B	V	575680	576162	
YKR078W	YKR078W	XI	584952	586709	
YDR201W	YDR201W	IV	856317	856814	SPC19
YPR087W	YPR087W	XVI	711354	711674	VPS69
YLR027C	YLR027C	XII	196829	198085	AAT2
YOR275C	YOR275C	XV	839084	841069	RIM20
YML077W	YML077W	XIII	111865	112344	BET5
YGL245W	YGL245W	VII	39023	41149	GUS1
YHR058C	YHR058C	VIII	218997	219884	MED6
YPR181C	YPR181C	XVI	897361	899667	SEC23
YDL025W-A	YDL025W-A	IV	405410	405514	
YER190W	YER190W	V	571480	576525	YRF1-2
YBR106W	YBR106W	II	452658	453224	PHO88
YHR018C	YHR018C	VIII	140011	141402	ARG4
YPL197C	YPL197C	XVI	174343	174756	
YBR170C	YBR170C	II	576344	578086	NPL4
YMR304W	YMR304W	XIII	874987	878679	UBP15
YDL211C	YDL211C	IV	79294	80412	
YPL078C	YPL078C	XVI	408010	408744	ATP4
YDR273W	YDR273W	IV	1010176	1011273	DON1
YOL007C	YOL007C	XV	311342	312367	CSI2
YDR399W	YDR399W	IV	1270068	1270733	HPT1
YLR064W	YLR064W	XII	265456	266277	PER33
YKL181W	YKL181W	XI	107316	108599	PRS1
YML047W-A	YML047W-A	XIII	179893	180258	
YGR192C	YGR192C	VII	882812	883810	TDH3
YGL045W	YGL045W	VII	414102	415730	RIM8
YDL078C	YDL078C	IV	315357	316388	MDH3
YOL041C	YOL041C	XV	251267	252646	NOP12
YMR226C	YMR226C	XIII	721593	722396	
YHR200W	YHR200W	VIII	499079	499885	RPN10
YDR524C	YDR524C	IV	1487542	1488990	AGE1
YLR111W	YLR111W	XII	370391	370723	
YBR219C	YBR219C	II	662499	663303	
YMR122C	YMR122C	XIII	510701	511075	
YGR270W	YGR270W	VII	1027370	1031509	YTA7
YPR125W	YPR125W	XVI	787961	789325	YLH47
YEL046C	YEL046C	V	67629	68792	GLY1
YIR015W	YIR015W	IX	381948	382382	RPR2
YGR136W	YGR136W	VII	762428	763153	LSB1
YMR242C	YMR242C	XIII	753225	754220	RPL20A
YLR379W	YLR379W	XII	876922	877296	
YDR204W	YDR204W	IV	858137	859144	COQ4
YPL161C	YPL161C	XVI	244319	246220	BEM4
YMR145C	YMR145C	XIII	554793	556475	NDE1
YIR017W-A	YIR017W-A	IX	383566	384165	
YLL031C	YLL031C	XII	77152	80205	GPI13
YDR300C	YDR300C	IV	1061505	1062791	PRO1
YLR229C	YLR229C	XII	604212	604787	CDC42
YLR421C	YLR421C	XII	965090	965560	RPN13
YJR151C	YJR151C	X	712255	715740	DAN4
YMR307C-A	YMR307C-A	XIII	887731	887925	
YPL096W	YPL096W	XVI	366927	368018	PNG1
YML038C	YML038C	XIII	202775	204103	YMD8
YJL082W	YJL082W	X	281185	283380	IML2
YIL006W	YIL006W	IX	344062	345183	YIA6
YLR392C	YLR392C	XII	904749	906305	ART10
YGR075C	YGR075C	VII	636147	636875	PRP38
YBR268W	YBR268W	II	741299	741616	MRPL37
YDR316W	YDR316W	IV	1093763	1095178	OMS1
YNR070W	YNR070W	XIV	765375	769376	PDR18
YKR020W	YKR020W	XI	478338	478832	VPS51
YOL164W-A	YOL164W-A	XV	4130	4312	
YPR142C	YPR142C	XVI	818130	818693	
YNL145W	YNL145W	XIV	352414	352530	MFA2
YHR068W	YHR068W	VIII	232133	233296	DYS1
YEL010W	YEL010W	V	136279	136629	
YOL013W-B	YOL013W-B	XV	300690	300980	
YGL160W	YGL160W	VII	200561	202273	AIM14
YGR042W	YGR042W	VII	579476	580291	
YDR430C	YDR430C	IV	1325501	1328470	CYM1
YPR160W	YPR160W	XVI	861306	864014	GPH1
YER007W	YER007W	V	164527	166083	PAC2
YGR095C	YGR095C	VII	675671	676342	RRP46
YCR041W	YCR041W	III	200911	201243	
YFL033C	YFL033C	VI	69115	74427	RIM15
YDL089W	YDL089W	IV	296820	298274	NUR1
YDR522C	YDR522C	IV	1483795	1485303	SPS2
YEL062W	YEL062W	V	34407	36254	NPR2
YBR026C	YBR026C	II	292877	294019	ETR1
YLR143W	YLR143W	XII	427329	429386	DPH6
YMR125W	YMR125W	XIII	517539	520446	STO1
YLR126C	YLR126C	XII	394765	395520	
YGL086W	YGL086W	VII	347119	349368	MAD1
YNL129W	YNL129W	XIV	381480	382202	NRK1
YGL048C	YGL048C	VII	410069	411286	RPT6
YER106W	YER106W	V	372326	373234	MAM1
YBR083W	YBR083W	II	409169	410629	TEC1
YJR012C	YJR012C	X	459795	460418	
YGR169C	YGR169C	VII	834689	835903	PUS6
YDR509W	YDR509W	IV	1468226	1468573	
Q0010	Q0010	Mito	3952	4338	
YMR074C	YMR074C	XIII	413036	413473	
YJL127W-A	YJL127W-A	X	180194	180310	
YDR341C	YDR341C	IV	1151803	1153626	
YDR521W	YDR521W	IV	1483141	1483476	
YMR269W	YMR269W	XIII	804456	805091	TMA23
YJR112W-A	YJR112W-A	X	637790	638168	
YHR138C	YHR138C	VIII	377355	377699	
YBL039C-A	YBL039C-A	II	144948	145031	
YFL021W	YFL021W	VI	95966	97498	GAT1
YPL144W	YPL144W	XVI	280480	280926	POC4
YML026C	YML026C	XIII	222987	223828	RPS18B
YEL053C	YEL053C	V	53901	56102	MAK10
YHL020C	YHL020C	VIII	66242	67456	OPI1
YGR106C	YGR106C	VII	698989	699786	VOA1
YLR444C	YLR444C	XII	1023686	1023988	
YJR128W	YJR128W	X	662921	663280	
YMR194C-B	YMR194C-B	XIII	652594	652887	CMC4
YLR452C	YLR452C	XII	1039270	1041366	SST2
YMR005W	YMR005W	XIII	276045	277211	TAF4
YOL099C	YOL099C	XV	132017	132508	
YLR363C	YLR363C	XII	852495	853151	NMD4
YIL023C	YIL023C	IX	309386	310426	YKE4
YGL115W	YGL115W	VII	292033	293001	SNF4
YKL138C	YKL138C	XI	185286	185681	MRPL31
YOL109W	YOL109W	XV	110297	110638	ZEO1
YGL002W	YGL002W	VII	494517	495167	ERP6
YOR312C	YOR312C	XV	900250	901194	RPL20B
YLR179C	YLR179C	XII	514108	514713	
YNL230C	YNL230C	XIV	217523	218662	ELA1
YHL028W	YHL028W	VIII	48763	50580	WSC4
YCR015C	YCR015C	III	141217	142170	
YPR199C	YPR199C	XVI	938148	939032	ARR1
YMR313C	YMR313C	XIII	899379	901307	TGL3
YLR361C	YLR361C	XII	847388	849124	DCR2
YBR077C	YBR077C	II	391805	392293	SLM4
YOR298W	YOR298W	XV	875599	877038	MUM3
YDR380W	YDR380W	IV	1234218	1236125	ARO10
YMR135W-A	YMR135W-A	XIII	539911	540444	
YGL226C-A	YGL226C-A	VII	72749	73158	OST5
YDL177C	YDL177C	IV	141209	141721	
YOL084W	YOL084W	XV	162356	165331	PHM7
YLR069C	YLR069C	XII	271630	273915	MEF1
YDR060W	YDR060W	IV	570649	573726	MAK21
YDL096C	YDL096C	IV	286998	287324	OPI6
YGR149W	YGR149W	VII	789031	790329	
YPL213W	YPL213W	XVI	150614	151330	LEA1
YPL203W	YPL203W	XVI	166256	167398	TPK2
YLL041C	YLL041C	XII	53131	53931	SDH2
YGL258W-A	YGL258W-A	VII	9162	9395	
YBL026W	YBL026W	II	170623	171038	LSM2
YBR076C-A	YBR076C-A	II	391351	391617	
YNR021W	YNR021W	XIV	668377	669591	
YGR080W	YGR080W	VII	642010	643008	TWF1
YBL055C	YBL055C	II	115573	116829	
YBR195C	YBR195C	II	610614	611882	MSI1
YCR096C	YCR096C	III	293179	293538	HMRA2
YIL172C	YIL172C	IX	16784	18553	IMA3
YPL191C	YPL191C	XVI	183597	184679	
YMR013C	YMR013C	XIII	295179	296738	SEC59
YPL148C	YPL148C	XVI	272294	272815	PPT2
YFL038C	YFL038C	VI	55366	55986	YPT1
YPL088W	YPL088W	XVI	381965	382993	
YPL240C	YPL240C	XVI	96496	98625	HSP82
YIL037C	YIL037C	IX	283029	284999	PRM2
YGL145W	YGL145W	VII	230243	232348	TIP20
YLR232W	YLR232W	XII	606830	607177	
YNL004W	YNL004W	XIV	622915	624621	HRB1
YPR060C	YPR060C	XVI	674861	675631	ARO7
YEL018W	YEL018W	V	121471	122310	EAF5
YEL043W	YEL043W	V	70478	73348	
YHR069C	YHR069C	VIII	233579	234658	RRP4
YLR323C	YLR323C	XII	778173	778952	CWC24
YGL172W	YGL172W	VII	180700	182118	NUP49
YPL053C	YPL053C	XVI	457118	458458	KTR6
YJR070C	YJR070C	X	569621	570598	LIA1
YPL283C	YPL283C	XVI	280	6007	YRF1-7
YDL143W	YDL143W	IV	199996	201582	CCT4
YDR257C	YDR257C	IV	969990	971474	RKM4
YKL162C	YKL162C	XI	147630	148838	
YHL027W	YHL027W	VIII	51111	52988	RIM101
YAR068W	YAR068W	I	222406	222891	
YMR290C	YMR290C	XIII	850074	851591	HAS1
YGR296C-A	YGR296C-A	VII	1088870	1089445	
YDL021W	YDL021W	IV	413953	414888	GPM2
YDR452W	YDR452W	IV	1362878	1364902	PPN1
YPL211W	YPL211W	XVI	153495	154040	NIP7
YBR074W	YBR074W	II	386286	389216	PFF1
YAL038W	YAL038W	I	71786	73288	CDC19
YBL071W-A	YBL071W-A	II	89978	90226	KTI11
YMR024W	YMR024W	XIII	321875	323047	MRPL3
YOL047C	YOL047C	XV	241614	242747	LDS2
YDL018C	YDL018C	IV	422833	423510	ERP3
YLR147C	YLR147C	XII	434158	434463	SMD3
YIL061C	YIL061C	IX	244657	245559	SNP1
YML012W	YML012W	XIII	246116	246751	ERV25
YHR187W	YHR187W	VIII	480990	481919	IKI1
Q0250	Q0250	Mito	73758	74513	COX2
YGR155W	YGR155W	VII	798543	800066	CYS4
YLR155C	YLR155C	XII	469317	470405	ASP3-1
YLR136C	YLR136C	XII	415801	416658	TIS11
YKR015C	YKR015C	XI	466961	468667	
YDL060W	YDL060W	IV	341619	343985	TSR1
YLR320W	YLR320W	XII	771940	776304	MMS22
YIL069C	YIL069C	IX	231553	232369	RPS24B
YHR075C	YHR075C	VIII	248439	249641	PPE1
YIL085C	YIL085C	IX	200490	202043	KTR7
YGL195W	YGL195W	VII	131525	139543	GCN1
YDR062W	YDR062W	IV	576474	578159	LCB2
YOL119C	YOL119C	XV	94856	96361	MCH4
YJR105W	YJR105W	X	623581	624603	ADO1
YNL289W	YNL289W	XIV	87897	88736	PCL1
YER161C	YER161C	V	499347	500348	SPT2
YNR036C	YNR036C	XIV	694361	694822	MRPS12
YAL067C	YAL067C	I	7235	9016	SEO1
YMR247C	YMR247C	XIII	763351	768039	RKR1
YOR316C-A	YOR316C-A	XV	907726	907935	
YJL096W	YJL096W	X	246490	246975	MRPL49
YMR111C	YMR111C	XIII	492404	493792	
YBR136W	YBR136W	II	505668	512774	MEC1
YKL059C	YKL059C	XI	328118	329443	MPE1
YGR018C	YGR018C	VII	524365	524694	
YMR090W	YMR090W	XIII	449245	449928	
YNR061C	YNR061C	XIV	742881	743540	
YGR119C	YGR119C	VII	728046	729671	NUP57
YGR235C	YGR235C	VII	961360	962061	MIC26
YER121W	YER121W	V	402375	402719	
YJL204C	YJL204C	X	50629	53151	RCY1
YER180C-A	YER180C-A	V	550865	551122	SLO1
YMR294W-A	YMR294W-A	XIII	858209	858568	
YGR209C	YGR209C	VII	912913	913227	TRX2
YMR306C-A	YMR306C-A	XIII	886183	886572	
YNL154C	YNL154C	XIV	343636	345276	YCK2
YDL012C	YDL012C	IV	431108	431517	
YBL064C	YBL064C	II	100371	101156	PRX1
YDL181W	YDL181W	IV	135179	135436	INH1
YOR392W	YOR392W	XV	1079282	1079725	
YMR133W	YMR133W	XIII	536207	537609	REC114
YKL029C	YKL029C	XI	382716	384725	MAE1
YPR106W	YPR106W	XVI	740061	741392	ISR1
YNL039W	YNL039W	XIV	555048	556832	BDP1
YDL149W	YDL149W	IV	184925	187918	ATG9
YER170W	YER170W	V	525974	526651	ADK2
YDR009W	YDR009W	IV	463434	464996	GAL3
YBR282W	YBR282W	II	768240	768680	MRPL27
YGR187C	YGR187C	VII	870232	871416	HGH1
YLR007W	YLR007W	XII	164392	165402	NSE1
YPL269W	YPL269W	XVI	33013	34947	KAR9
Q0110	Q0110	Mito	36540	38579	BI2
YER013W	YER013W	V	178841	182278	PRP22
YER060W	YER060W	V	274567	276153	FCY21
YDR407C	YDR407C	IV	1284069	1287938	TRS120
YHR137W	YHR137W	VIII	375709	377250	ARO9
YHL034W-A	YHL034W-A	VIII	33176	33637	
YGL009C	YGL009C	VII	476313	478652	LEU1
YGR058W	YGR058W	VII	606136	607143	PEF1
YIR041W	YIR041W	IX	433929	434303	PAU15
YIL008W	YIL008W	IX	342536	342835	URM1
YBR192W	YBR192W	II	607652	608785	RIM2
YHR101C	YHR101C	VIII	314874	315968	BIG1
YDR279W	YDR279W	IV	1019368	1020420	RNH202
YBL009W	YBL009W	II	207194	209224	ALK2
YER029C	YER029C	V	212587	213177	SMB1
YLR243W	YLR243W	XII	624203	625021	GPN3
YOL048C	YOL048C	XV	240204	241310	RRT8
YJL025W	YJL025W	X	393967	395511	RRN7
YDR427W	YDR427W	IV	1322205	1323386	RPN9
YDR246W	YDR246W	IV	954288	954947	TRS23
YLR187W	YLR187W	XII	524865	527945	SKG3
YER182W	YER182W	V	552525	553259	FMP10
YDL024C	YDL024C	IV	408451	409857	DIA3
YMR137C	YMR137C	XIII	542978	544963	PSO2
YNL163C	YNL163C	XIV	326741	330073	RIA1
YMR228W	YMR228W	XIII	724626	725651	MTF1
YOL148C	YOL148C	XV	45760	47574	SPT20
YJR069C	YJR069C	X	568806	569399	HAM1
YDR411C	YDR411C	IV	1293369	1294394	DFM1
YBR232C	YBR232C	II	683373	683732	
YIL066C	YIL066C	IX	238099	240708	RNR3
YNL061W	YNL061W	XIV	510540	512396	NOP2
YDR309C	YDR309C	IV	1079048	1080199	GIC2
YER095W	YER095W	V	349980	351182	RAD51
YCR054C	YCR054C	III	218376	220067	CTR86
YDR499W	YDR499W	IV	1447830	1450073	LCD1
YJL138C	YJL138C	X	153504	154691	TIF2
YJL063C	YJL063C	X	315759	316475	MRPL8
YKR004C	YKR004C	XI	446799	448036	ECM9
YMR206W	YMR206W	XIII	675896	676837	
YER092W	YER092W	V	342855	343232	IES5
YLR410W	YLR410W	XII	937541	940981	VIP1
YMR154C	YMR154C	XIII	565999	568182	RIM13
YBR101C	YBR101C	II	443821	444693	FES1
YDR544C	YDR544C	IV	1525095	1525523	
YIL042C	YIL042C	IX	275108	276292	PKP1
YOL004W	YOL004W	XV	316938	321548	SIN3
YHR112C	YHR112C	VIII	334527	335663	
YGL029W	YGL029W	VII	440063	440425	CGR1
YPL261C	YPL261C	XVI	48996	49304	
YGR160W	YGR160W	VII	807073	807684	
YJR060W	YJR060W	X	548759	549814	CBF1
YDR437W	YDR437W	IV	1337352	1337774	GPI19
YHL022C	YHL022C	VIII	62961	64157	SPO11
YGR017W	YGR017W	VII	523787	524680	
YGL175C	YGL175C	VII	173285	174322	SAE2
YIL124W	YIL124W	IX	126204	127097	AYR1
YLR305C	YLR305C	XII	738161	743863	STT4
YOR343C	YOR343C	XV	968148	968474	
YGR234W	YGR234W	VII	959904	961103	YHB1
YCR004C	YCR004C	III	119575	120318	YCP4
YKL115C	YKL115C	XI	222893	223285	
YKL028W	YKL028W	XI	385758	387206	TFA1
YPR173C	YPR173C	XVI	886524	887837	VPS4
YAL011W	YAL011W	I	132199	134076	SWC3
YPR137W	YPR137W	XVI	802359	804080	RRP9
YJL108C	YJL108C	X	217705	218856	PRM10
YHR039C-A	YHR039C-A	VIII	187173	187679	VMA10
YLR238W	YLR238W	XII	614755	616191	FAR10
YNL067W	YNL067W	XIV	499681	500256	RPL9B
YEL016C	YEL016C	V	124737	126218	NPP2
YEL020C	YEL020C	V	118617	120299	
YLR020C	YLR020C	XII	181789	183405	YEH2
YPL060W	YPL060W	XVI	434523	435764	MFM1
YER087W	YER087W	V	330576	332306	AIM10
YIL156W-B	YIL156W-B	IX	47690	47973	
YOL087C	YOL087C	XV	155287	158637	DUF1
YNL304W	YNL304W	XIV	60297	61550	YPT11
YHR056C	YHR056C	VIII	215183	217834	RSC30
YNL092W	YNL092W	XIV	450871	452073	
YJR110W	YJR110W	X	633615	635681	YMR1
YKL033W	YKL033W	XI	375456	378572	TTI1
YPL152W	YPL152W	XVI	265028	266104	RRD2
YLR427W	YLR427W	XII	988428	990440	MAG2
YHR214W	YHR214W	VIII	541651	542262	
YLR049C	YLR049C	XII	243886	245172	
YBR025C	YBR025C	II	290681	291865	OLA1
YGL243W	YGL243W	VII	43307	44509	TAD1
YNL208W	YNL208W	XIV	254418	255017	
YER055C	YER055C	V	264892	265785	HIS1
YHR065C	YHR065C	VIII	227532	229037	RRP3
YJR123W	YJR123W	X	651901	652578	RPS5
YDR405W	YDR405W	IV	1277646	1278437	MRP20
YNL128W	YNL128W	XIV	382359	383663	TEP1
YGL163C	YGL163C	VII	193707	196403	RAD54
YDR426C	YDR426C	IV	1321629	1322006	
YMR139W	YMR139W	XIII	546125	547237	RIM11
YDR442W	YDR442W	IV	1345647	1346039	
YJL128C	YJL128C	X	178097	180103	PBS2
YDL217C	YDL217C	IV	67983	68606	TIM22
YJR002W	YJR002W	X	438865	440646	MPP10
YOL085C	YOL085C	XV	161673	162014	
YPL094C	YPL094C	XVI	369839	370663	SEC62
YJL157C	YJL157C	X	123836	126328	FAR1
YER120W	YER120W	V	401135	401869	SCS2
YAL037C-A	YAL037C-A	I	73426	73518	
YGL207W	YGL207W	VII	98969	102076	SPT16
YDR516C	YDR516C	IV	1474974	1476476	EMI2
YLR315W	YLR315W	XII	764808	765269	NKP2
YPL106C	YPL106C	XVI	350194	352275	SSE1
YFR042W	YFR042W	VI	238458	239060	KEG1
YLR256W	YLR256W	XII	646415	650923	HAP1
YPR191W	YPR191W	XVI	919381	920487	QCR2
YJR029W	YJR029W	X	478344	483612	
YMR241W	YMR241W	XIII	751961	752905	YHM2
YNR077C	YNR077C	XIV	783287	783541	
